customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,ExtraCharges
8769-KKTPH,Female,No,Yes,Yes,63,MultipleLines,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,No,33.24999999999909
5067-XJQFU,Male,Yes,Yes,Yes,66,MultipleLines,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,No,-81.34999999999945
3957-SQXML,Female,No,Yes,Yes,34,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,No,46.0
5954-BDFSG,Female,No,No,No,72,MultipleLines,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,No,113.69999999999982
0434-CSFON,Female,No,Yes,No,47,MultipleLines,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,No,-16.399999999999636
1215-FIGMP,Male,No,No,No,60,MultipleLines,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,No,56.69999999999982
0526-SXDJP,Male,No,Yes,No,72,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,No,-69.20000000000027
0557-ASKVU,Female,No,Yes,Yes,18,OneLine,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,No,-22.09999999999991
5698-BQJOH,Female,No,No,No,9,MultipleLines,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,Yes,7.649999999999977
5122-CYFXA,Female,No,No,No,3,OneLine,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,No,18.200000000000017
8627-ZYGSZ,Male,No,Yes,No,47,MultipleLines,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,No,-57.95000000000027
3410-YOQBQ,Female,No,No,No,31,OneLine,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,No,41.999999999999545
3170-NMYVV,Female,No,Yes,Yes,50,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,No,-76.59999999999991
7410-OIEDU,Male,No,No,No,10,OneLine,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,No,88.85000000000002
2273-QCKXA,Male,No,No,No,1,OneLine,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,No,0.0
0731-EBJQB,Female,No,Yes,Yes,52,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,No,29.850000000000136
1891-QRQSA,Male,Yes,Yes,Yes,64,MultipleLines,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,No,-43.399999999999636
8028-PNXHQ,Male,No,Yes,Yes,62,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,No,-78.90000000000009
5630-AHZIL,Female,No,No,Yes,3,OneLine,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,No,-16.099999999999994
2673-CXQEU,Female,Yes,No,No,56,MultipleLines,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,No,-48.5
6416-JNVRK,Female,No,No,No,46,OneLine,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,No,128.94999999999982
5590-ZSKRV,Female,No,Yes,Yes,8,OneLine,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,No,45.05000000000001
0191-ZHSKZ,Male,Yes,No,No,30,OneLine,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,No,-131.19999999999982
3887-PBQAO,Female,No,Yes,Yes,45,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,No,51.09999999999991
5919-TMRGD,Female,No,No,Yes,1,OneLine,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,Yes,0.0
8108-UXRQN,Female,No,Yes,Yes,11,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,No,9.300000000000068
9191-MYQKX,Female,No,Yes,No,7,OneLine,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,Yes,-29.15000000000009
9919-YLNNG,Female,No,No,No,42,OneLine,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,No,-32.099999999999454
0318-ZOPWS,Female,No,Yes,No,49,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,No,-13.999999999999886
4445-ZJNMU,Male,No,No,No,9,MultipleLines,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,No,25.050000000000068
4808-YNLEU,Female,No,Yes,No,35,OneLine,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,No,40.19999999999982
1862-QRWPE,Female,No,Yes,Yes,48,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,No,65.80000000000007
2796-NNUFI,Female,No,Yes,Yes,46,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,No,9.400000000000091
3016-KSVCP,Male,No,Yes,No,29,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,No,30.5
4767-HZZHQ,Male,No,Yes,Yes,30,OneLine,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,No,108.69999999999982
2424-WVHPL,Male,Yes,No,No,1,OneLine,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,No,0.0
7233-PAHHL,Male,No,Yes,Yes,66,MultipleLines,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,No,170.25
6067-NGCEU,Female,No,No,No,65,MultipleLines,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,No,-111.25
9848-JQJTX,Male,No,No,No,72,MultipleLines,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,No,194.25
8637-XJIVR,Female,No,No,No,12,MultipleLines,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,Yes,-20.050000000000068
9803-FTJCG,Male,No,Yes,Yes,71,MultipleLines,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,No,2.350000000000364
0278-YXOOG,Male,No,No,No,5,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,Yes,8.599999999999994
3212-KXOCR,Male,No,No,No,52,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,No,15.200000000000045
4598-XLKNJ,Female,Yes,Yes,No,25,OneLine,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,Yes,52.0
6380-ARCEH,Male,No,No,No,1,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No,0.0
3679-XASPY,Female,No,Yes,Yes,1,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,No,0.0
7123-WQUHX,Male,No,No,No,38,MultipleLines,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,No,-4.400000000000091
5386-THSLQ,Female,Yes,Yes,No,66,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,No,20.950000000000273
3192-NQECA,Male,No,Yes,No,68,MultipleLines,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,Yes,131.85000000000036
6180-YBIQI,Male,No,No,No,5,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,No,-21.299999999999997
6728-DKUCO,Female,No,Yes,Yes,72,MultipleLines,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,No,-195.75
9750-BOOHV,Female,No,No,No,32,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,No,-37.14999999999998
8597-CWYHH,Male,No,No,No,43,MultipleLines,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,No,-135.74999999999955
2848-YXSMW,Male,No,Yes,Yes,72,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,No,-33.549999999999955
0486-HECZI,Male,No,Yes,No,55,MultipleLines,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,Yes,-82.35000000000036
4549-ZDQYY,Female,No,No,No,52,OneLine,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,No,28.84999999999991
5712-AHQNN,Female,No,No,No,43,OneLine,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,No,13.149999999999636
4846-WHAFZ,Female,Yes,Yes,No,37,MultipleLines,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,Yes,37.65000000000009
5256-SKJGO,Female,No,Yes,Yes,64,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,No,-70.90000000000009
3071-VBYPO,Male,No,Yes,Yes,3,OneLine,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,No,-21.14999999999995
9560-BBZXK,Female,No,No,No,36,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,No,8.549999999999955
5299-RULOA,Female,No,Yes,Yes,10,MultipleLines,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,Yes,62.15000000000009
8402-OOOHJ,Female,No,No,No,41,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,No,-11.5
9445-ZUEQE,Male,No,Yes,Yes,27,MultipleLines,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,No,-148.80000000000018
1091-SOZGA,Female,No,Yes,Yes,56,MultipleLines,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,No,-73.35000000000036
2928-HLDBA,Female,No,No,No,6,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,No,-11.449999999999989
0404-SWRVG,Male,No,No,No,3,MultipleLines,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,Yes,6.349999999999994
6497-TILVL,Female,No,Yes,Yes,7,OneLine,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,No,-4.550000000000011
7219-TLZHO,Female,No,Yes,Yes,4,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,No,-20.500000000000007
4622-YNKIJ,Male,No,No,No,33,OneLine,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,No,92.30000000000018
4412-YLTKF,Female,Yes,No,No,27,MultipleLines,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,Yes,28.15000000000009
6734-PSBAW,Male,No,Yes,No,72,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,No,28.34999999999991
3930-ZGWVE,Male,No,No,No,1,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,No,0.0
2639-UGMAZ,Male,Yes,No,No,71,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,No,-22.600000000000364
2876-GZYZC,Female,No,No,No,13,MultipleLines,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,No,98.29999999999995
6207-WIOLX,Female,No,Yes,Yes,25,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,Yes,37.65000000000009
8587-XYZSF,Male,No,No,No,67,OneLine,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,No,-126.75
3091-FYHKI,Male,No,No,No,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Yes,0.0
2372-HWUHI,Male,No,No,No,2,OneLine,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,Yes,-7.450000000000003
7799-LGRDP,Female,No,No,No,43,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,No,83.10000000000014
7850-VWJUU,Female,No,No,No,23,OneLine,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,No,53.5
3774-VBNXY,Female,No,Yes,Yes,64,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,No,-15.049999999999955
6217-KDYWC,Male,No,No,Yes,57,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,No,53.34999999999991
0390-DCFDQ,Female,Yes,Yes,No,1,OneLine,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Yes,0.0
3146-MSEGF,Female,Yes,Yes,Yes,72,MultipleLines,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,No,86.05000000000018
4080-OGPJL,Female,No,No,No,8,MultipleLines,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,Yes,-5.550000000000068
1095-WGNGG,Female,No,Yes,No,61,MultipleLines,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,No,-192.80000000000018
2636-SJDOU,Male,No,No,No,64,MultipleLines,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,No,-106.14999999999964
1131-QQZEB,Male,Yes,Yes,No,71,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,No,55.75
5716-EZXZN,Female,No,Yes,Yes,65,MultipleLines,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,No,-21.550000000000182
6837-BJYDQ,Male,No,No,No,3,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,No,2.549999999999997
2135-RXIHG,Male,No,No,No,1,OneLine,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Yes,0.0
6440-DKQGE,Male,No,No,Yes,30,OneLine,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,No,-5.0499999999999545
3466-BYAVD,Male,No,Yes,Yes,15,OneLine,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,No,28.90000000000009
3780-YVMFA,Female,No,Yes,Yes,8,OneLine,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,No,15.950000000000045
3874-EQOEP,Male,No,No,No,7,MultipleLines,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,Yes,-9.5
1679-JRFBR,Female,No,Yes,Yes,70,MultipleLines,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.15,No,360.0500000000002
9073-ZZIAY,Male,No,Yes,Yes,62,OneLine,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.1,No,-122.94999999999982
3077-RSNTJ,Female,No,Yes,Yes,6,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,No,-4.699999999999989
6551-GNYDG,Female,No,Yes,Yes,14,OneLine,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,No,20.199999999999818
9167-APMXZ,Female,No,No,No,22,MultipleLines,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.15,No,-29.350000000000136
2749-CTKAJ,Male,No,Yes,Yes,22,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,No,-23.399999999999977
6371-NZYEG,Male,No,Yes,Yes,16,OneLine,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,64.25,No,-4.0
7554-NEWDD,Male,No,No,No,10,MultipleLines,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,No,-5.400000000000006
8992-VONJD,Female,No,No,Yes,13,OneLine,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,56.0,No,36.549999999999955
0867-MKZVY,Female,No,Yes,No,20,MultipleLines,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,Yes,-55.65000000000009
4482-EWFMI,Female,No,No,No,2,OneLine,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,No,-4.200000000000017
4648-YPBTM,Male,No,No,No,53,MultipleLines,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,No,41.54999999999973
2907-ILJBN,Female,No,Yes,Yes,11,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.6,No,7.299999999999983
6345-FZOQH,Male,No,Yes,No,69,OneLine,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,No,-9.649999999999864
